region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0
Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,44.0
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0
Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44.0
Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15.0
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000.0
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0
Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,100.0
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000.0
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000.0
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000.0
Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,65.0
Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000.0
Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,150000.0
Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6.0
Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350.0
Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990.0
Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400.0
Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140.0
Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410.0
Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100.0
Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650.0
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700.0
Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400.0
Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6.0
Austria,Historical,EV stock,Cars,FCEV,2014,Vehicles,3.0
Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,780.0
Austria,Historical,EV stock,Cars,PHEV,2015,Vehicles,1500.0
Austria,Historical,EV stock,Cars,FCEV,2015,Vehicles,6.0
Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4.0
Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100.0
Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,5000.0
Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700.0
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800.0
Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100.0
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0
Austria,Historical,EV stock,Cars,FCEV,2016,Vehicles,13.0
Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,2300.0
Austria,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0
Austria,Historical,EV stock,Cars,FCEV,2017,Vehicles,19.0
Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2.0
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700.0
Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,15000.0
Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400.0
Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800.0
Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,21000.0
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0
Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7.0
Austria,Historical,EV stock,Cars,FCEV,2018,Vehicles,24.0
Austria,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0
Austria,Historical,EV stock,Cars,PHEV,2019,Vehicles,8000.0
Austria,Historical,EV stock,Cars,FCEV,2019,Vehicles,41.0
Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,19.0
Austria,Historical,EV stock,Cars,BEV,2019,Vehicles,30000.0
Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300.0
Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200.0
Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600.0
Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000.0
Austria,Historical,EV stock,Cars,BEV,2020,Vehicles,45000.0
Austria,Historical,EV sales,Cars,FCEV,2020,Vehicles,14.0
Austria,Historical,EV stock,Cars,FCEV,2020,Vehicles,45.0
Austria,Historical,EV stock,Cars,PHEV,2020,Vehicles,15000.0
Austria,Historical,EV stock,Cars,PHEV,2021,Vehicles,29000.0
Austria,Historical,EV stock,Cars,FCEV,2021,Vehicles,55.0
Austria,Historical,EV sales,Cars,FCEV,2021,Vehicles,14.0
Austria,Historical,EV stock,Cars,BEV,2021,Vehicles,77000.0
Austria,Historical,EV sales,Cars,BEV,2021,Vehicles,33000.0
Austria,Historical,EV sales,Cars,PHEV,2021,Vehicles,15000.0
Austria,Historical,EV sales,Cars,PHEV,2022,Vehicles,13000.0
Austria,Historical,EV sales,Cars,BEV,2022,Vehicles,34000.0
Austria,Historical,EV stock,Cars,BEV,2022,Vehicles,110000.0
Austria,Historical,EV sales,Cars,FCEV,2022,Vehicles,14.0
Austria,Historical,EV stock,Cars,FCEV,2022,Vehicles,62.0
Austria,Historical,EV stock,Cars,PHEV,2022,Vehicles,42000.0
Austria,Historical,EV stock,Cars,PHEV,2023,Vehicles,61000.0
Austria,Historical,EV stock,Cars,FCEV,2023,Vehicles,89.0
Austria,Historical,EV sales,Cars,FCEV,2023,Vehicles,9.0
Austria,Historical,EV stock,Cars,BEV,2023,Vehicles,160000.0
Austria,Historical,EV sales,Cars,BEV,2023,Vehicles,48000.0
Austria,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000.0
Belgium,Historical,EV stock,Buses,BEV,2010,Vehicles,3.0
Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7.0
Belgium,Historical,EV stock,Vans,BEV,2010,Vehicles,62.0
Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,48.0
Belgium,Historical,EV stock,Cars,BEV,2010,Vehicles,61.0
Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8.0
Belgium,Historical,EV stock,Cars,FCEV,2010,Vehicles,1.0
Belgium,Historical,EV stock,Cars,PHEV,2010,Vehicles,9.0
Belgium,Historical,EV stock,Trucks,BEV,2010,Vehicles,2.0
Belgium,Historical,EV stock,Trucks,BEV,2011,Vehicles,6.0
Belgium,Historical,EV sales,Trucks,BEV,2011,Vehicles,1.0
Belgium,Historical,EV stock,Cars,PHEV,2011,Vehicles,26.0
Belgium,Historical,EV stock,Cars,FCEV,2011,Vehicles,1.0
Belgium,Historical,EV sales,Cars,PHEV,2011,Vehicles,16.0
Belgium,Historical,EV stock,Cars,BEV,2011,Vehicles,320.0
Belgium,Historical,EV sales,Cars,BEV,2011,Vehicles,280.0
Belgium,Historical,EV stock,Vans,BEV,2011,Vehicles,79.0
Belgium,Historical,EV sales,Vans,BEV,2011,Vehicles,25.0
Belgium,Historical,EV stock,Buses,BEV,2011,Vehicles,3.0
Belgium,Historical,EV stock,Buses,BEV,2012,Vehicles,3.0
Belgium,Historical,EV sales,Vans,BEV,2012,Vehicles,260.0
Belgium,Historical,EV stock,Vans,BEV,2012,Vehicles,330.0
Belgium,Historical,EV sales,Cars,BEV,2012,Vehicles,570.0
Belgium,Historical,EV stock,Cars,BEV,2012,Vehicles,830.0
Belgium,Historical,EV sales,Cars,PHEV,2012,Vehicles,340.0
Belgium,Historical,EV stock,Cars,FCEV,2012,Vehicles,1.0
Belgium,Historical,EV stock,Cars,PHEV,2012,Vehicles,350.0
Belgium,Historical,EV stock,Trucks,BEV,2012,Vehicles,7.0
Belgium,Historical,EV stock,Trucks,BEV,2013,Vehicles,7.0
Belgium,Historical,EV stock,Cars,PHEV,2013,Vehicles,590.0
Belgium,Historical,EV stock,Cars,FCEV,2013,Vehicles,1.0
Belgium,Historical,EV sales,Cars,PHEV,2013,Vehicles,60.0
Belgium,Historical,EV stock,Cars,BEV,2013,Vehicles,1200.0
Belgium,Historical,EV sales,Cars,BEV,2013,Vehicles,500.0
Belgium,Historical,EV stock,Vans,BEV,2013,Vehicles,430.0
Belgium,Historical,EV sales,Vans,BEV,2013,Vehicles,110.0
Belgium,Historical,EV stock,Buses,BEV,2013,Vehicles,3.0
Belgium,Historical,EV stock,Buses,BEV,2014,Vehicles,7.0
Belgium,Historical,EV sales,Vans,BEV,2014,Vehicles,99.0
Belgium,Historical,EV stock,Buses,PHEV,2014,Vehicles,32.0
Belgium,Historical,EV stock,Vans,BEV,2014,Vehicles,520.0
Belgium,Historical,EV sales,Cars,BEV,2014,Vehicles,1300.0
Belgium,Historical,EV stock,Cars,BEV,2014,Vehicles,2200.0
Belgium,Historical,EV sales,Buses,BEV,2014,Vehicles,3.0
Belgium,Historical,EV stock,Cars,FCEV,2014,Vehicles,2.0
Belgium,Historical,EV stock,Cars,PHEV,2014,Vehicles,1500.0
Belgium,Historical,EV sales,Cars,PHEV,2014,Vehicles,650.0
Belgium,Historical,EV stock,Trucks,BEV,2014,Vehicles,11.0
Belgium,Historical,EV sales,Trucks,BEV,2014,Vehicles,1.0
Belgium,Historical,EV stock,Trucks,BEV,2015,Vehicles,12.0
Belgium,Historical,EV sales,Cars,PHEV,2015,Vehicles,2500.0
Belgium,Historical,EV stock,Cars,PHEV,2015,Vehicles,3800.0
Belgium,Historical,EV stock,Cars,FCEV,2015,Vehicles,8.0
Belgium,Historical,EV stock,Cars,BEV,2015,Vehicles,3300.0
Belgium,Historical,EV sales,Cars,FCEV,2015,Vehicles,2.0
Belgium,Historical,EV sales,Cars,BEV,2015,Vehicles,1400.0
Belgium,Historical,EV stock,Vans,BEV,2015,Vehicles,570.0
Belgium,Historical,EV stock,Buses,PHEV,2015,Vehicles,80.0
Belgium,Historical,EV sales,Vans,BEV,2015,Vehicles,68.0
Belgium,Historical,EV stock,Buses,BEV,2015,Vehicles,7.0
Belgium,Historical,EV stock,Buses,BEV,2016,Vehicles,7.0
Belgium,Historical,EV sales,Vans,BEV,2016,Vehicles,140.0
Belgium,Historical,EV stock,Buses,PHEV,2016,Vehicles,110.0
Belgium,Historical,EV stock,Vans,BEV,2016,Vehicles,690.0
Belgium,Historical,EV sales,Cars,BEV,2016,Vehicles,2100.0
Belgium,Historical,EV stock,Vans,PHEV,2016,Vehicles,1.0
Belgium,Historical,EV sales,Cars,FCEV,2016,Vehicles,7.0
Belgium,Historical,EV stock,Cars,BEV,2016,Vehicles,5200.0
Belgium,Historical,EV stock,Cars,FCEV,2016,Vehicles,20.0
Belgium,Historical,EV stock,Cars,PHEV,2016,Vehicles,11000.0
Belgium,Historical,EV sales,Cars,PHEV,2016,Vehicles,7100.0
Belgium,Historical,EV stock,Trucks,BEV,2016,Vehicles,13.0
Belgium,Historical,EV sales,Trucks,BEV,2016,Vehicles,1.0
Belgium,Historical,EV stock,Trucks,BEV,2017,Vehicles,14.0
Belgium,Historical,EV sales,Cars,PHEV,2017,Vehicles,12000.0
Belgium,Historical,EV stock,Cars,PHEV,2017,Vehicles,23000.0
Belgium,Historical,EV stock,Cars,FCEV,2017,Vehicles,31.0
Belgium,Historical,EV stock,Cars,BEV,2017,Vehicles,7500.0
Belgium,Historical,EV sales,Cars,FCEV,2017,Vehicles,11.0
Belgium,Historical,EV stock,Vans,PHEV,2017,Vehicles,4.0
Belgium,Historical,EV sales,Cars,BEV,2017,Vehicles,2700.0
Belgium,Historical,EV stock,Vans,BEV,2017,Vehicles,780.0
Belgium,Historical,EV sales,Vans,PHEV,2017,Vehicles,1.0
Belgium,Historical,EV stock,Buses,PHEV,2017,Vehicles,130.0
Belgium,Historical,EV sales,Vans,BEV,2017,Vehicles,130.0
Belgium,Historical,EV stock,Buses,BEV,2017,Vehicles,10.0
Belgium,Historical,EV sales,Buses,PHEV,2017,Vehicles,2.0
Belgium,Historical,EV stock,Buses,BEV,2018,Vehicles,21.0
Belgium,Historical,EV sales,Vans,BEV,2018,Vehicles,260.0
Belgium,Historical,EV stock,Buses,PHEV,2018,Vehicles,140.0
Belgium,Historical,EV sales,Vans,PHEV,2018,Vehicles,2.0
Belgium,Historical,EV stock,Vans,BEV,2018,Vehicles,1000.0
Belgium,Historical,EV sales,Cars,BEV,2018,Vehicles,3600.0
Belgium,Historical,EV stock,Vans,PHEV,2018,Vehicles,7.0
Belgium,Historical,EV sales,Cars,FCEV,2018,Vehicles,13.0
Belgium,Historical,EV stock,Cars,BEV,2018,Vehicles,11000.0
Belgium,Historical,EV sales,Buses,BEV,2018,Vehicles,14.0
Belgium,Historical,EV stock,Cars,FCEV,2018,Vehicles,44.0
Belgium,Historical,EV stock,Cars,PHEV,2018,Vehicles,33000.0
Belgium,Historical,EV sales,Cars,PHEV,2018,Vehicles,9600.0
Belgium,Historical,EV stock,Trucks,BEV,2018,Vehicles,17.0
Belgium,Historical,EV sales,Trucks,BEV,2018,Vehicles,1.0
Belgium,Historical,EV stock,Trucks,BEV,2019,Vehicles,17.0
Belgium,Historical,EV sales,Cars,PHEV,2019,Vehicles,8900.0
Belgium,Historical,EV stock,Cars,PHEV,2019,Vehicles,41000.0
Belgium,Historical,EV stock,Cars,FCEV,2019,Vehicles,41.0
Belgium,Historical,EV sales,Buses,BEV,2019,Vehicles,37.0
Belgium,Historical,EV stock,Cars,BEV,2019,Vehicles,19000.0
Belgium,Historical,EV sales,Cars,FCEV,2019,Vehicles,12.0
Belgium,Historical,EV stock,Vans,PHEV,2019,Vehicles,13.0
Belgium,Historical,EV sales,Cars,BEV,2019,Vehicles,8800.0
Belgium,Historical,EV stock,Vans,BEV,2019,Vehicles,1400.0
Belgium,Historical,EV stock,Buses,PHEV,2019,Vehicles,160.0
Belgium,Historical,EV sales,Vans,BEV,2019,Vehicles,400.0
Belgium,Historical,EV stock,Buses,BEV,2019,Vehicles,59.0
Belgium,Historical,EV stock,Buses,FCEV,2019,Vehicles,1.0
Belgium,Historical,EV sales,Buses,PHEV,2019,Vehicles,11.0
Belgium,Historical,EV sales,Buses,PHEV,2020,Vehicles,43.0
Belgium,Historical,EV stock,Buses,FCEV,2020,Vehicles,2.0
Belgium,Historical,EV stock,Buses,BEV,2020,Vehicles,75.0
Belgium,Historical,EV sales,Vans,BEV,2020,Vehicles,470.0
Belgium,Historical,EV stock,Buses,PHEV,2020,Vehicles,200.0
Belgium,Historical,EV stock,Vans,BEV,2020,Vehicles,1800.0
Belgium,Historical,EV sales,Vans,PHEV,2020,Vehicles,26.0
Belgium,Historical,EV sales,Cars,BEV,2020,Vehicles,15000.0
Belgium,Historical,EV stock,Vans,PHEV,2020,Vehicles,50.0
Belgium,Historical,EV sales,Cars,FCEV,2020,Vehicles,4.0
Belgium,Historical,EV stock,Cars,BEV,2020,Vehicles,32000.0
Belgium,Historical,EV sales,Buses,BEV,2020,Vehicles,12.0
Belgium,Historical,EV stock,Cars,FCEV,2020,Vehicles,64.0
Belgium,Historical,EV stock,Cars,PHEV,2020,Vehicles,73000.0
